created;text 
12/5/2021 16:10;RT @liaddh: Happy birthday Jin! 💜💐🌷🌼👑 #JIN #BTS https://t.co/L2wBqscCf7
12/5/2021 16:10;RT @bts_bighit: LA!! The most wonderful time of the year is here... the @iHeartRadio Jingle Ball!🎄 Who’s coming to #KIISJingleBall tonight?…
12/5/2021 16:10;I vote at #MAMAVOTE #bts
12/5/2021 16:10;RT @LyMccann: I vote #bts for #MAMAVOTE  2021 @BTS_twt
12/5/2021 16:09;RT @vivii_twt: I vote for #MAMAVOTE #BTS
12/5/2021 16:09;RT @kmskookmins: @fairychimtr I vote for #bts as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE
12/5/2021 16:09;RT @GlobalBTSVoting: RT to vote #bts (@BTS_twt) on MAMA Worldwide Fans' Choice Top 10. #MAMAVOTE
12/5/2021 16:09;RT @rmbaez: @vantekartt I vote for #bts as Worldwide Fan's Choice Top 10 at the #MAMAVOTE
12/5/2021 16:09;@Arab_Armys_Vote I vote for #bts  as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE
12/5/2021 16:09;I vote #bts for #MAMAVOTE 2021
12/5/2021 16:09;RT @taekoosvk: I vote for #bts as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE
